Dataset	ScanNumber	Collision Mode	ParentIonMZ	BasePeakIntensity	BasePeakMZ	ReporterIonIntensityMax	Ion_126.128	Ion_127.125	Ion_127.131	Ion_128.128	Ion_128.134	Ion_129.131	Ion_129.138	Ion_130.135	Ion_130.141	Ion_131.138	Ion_131.144	Weighted Avg Pct Intensity Correction	Ion_126.128_SignalToNoise	Ion_127.125_SignalToNoise	Ion_127.131_SignalToNoise	Ion_128.128_SignalToNoise	Ion_128.134_SignalToNoise	Ion_129.131_SignalToNoise	Ion_129.138_SignalToNoise	Ion_130.135_SignalToNoise	Ion_130.141_SignalToNoise	Ion_131.138_SignalToNoise	Ion_131.144_SignalToNoise	Ion_126.128_Resolution	Ion_127.125_Resolution	Ion_127.131_Resolution	Ion_128.128_Resolution	Ion_128.134_Resolution	Ion_129.131_Resolution	Ion_129.138_Resolution	Ion_130.135_Resolution	Ion_130.141_Resolution	Ion_131.138_Resolution	Ion_131.144_Resolution
811913	20057	hcd	842.94	579645.31	842.9365	469085.32	90881.86	86722.05	23672.16	0	128985.68	12342.91	3197.91	300195.71	0	469085.32	177774	6.5	119.19	112.14	42.65	26.85	170.34	28.22	14.73	406.31	58.42	611.54	227.69	67102	66802	64202	65100	66402	64002	62602	66602	66402	66806	66302
811913	20059	hcd	503.98	4253762	503.9797	582664.78	474101.83	582664.78	230954.72	0	177138.52	0	73675.03	127718.63	260694.58	119322.34	267317.28	6.4	240.86	293.75	137.37	165.15	99.96	87.18	46.28	70.71	138.54	62.5	138.79	67602	66806	66502	67202	65602	66202	64402	65802	66002	65302	66206
811913	20060	hcd	447.27	16184967	447.3095	1557500.17	278563.32	1557500.17	346719.02	0	427327.09	0	50811.85	167905.03	0	142490.45	650561.68	7.2	302.3	1652.27	401.72	384.6	483.87	357.99	97.3	197.92	649.78	154.94	696.77	67402	68004	58100	67702	67202	66302	67102	66802	66802	68402	66006
811913	20061	hcd	718.39	1240927.63	718.3969	281149.4	111543.31	244774.2	276266.67	203938.68	124462.81	0	26472.23	281149.4	0	99678.67	193212.18	6	56.16	120.94	142.46	111.04	71.53	28.07	18.12	139.91	60.89	53.8	95.36	66402	66302	66806	66802	65602	64602	62302	65802	65802	65002	66202
811913	20063	hcd	473.79	8937733	473.7884	1034977.72	181956.91	339127.79	398687.9	1034977.72	552709.23	0	112068.99	180645.78	0	156311.84	332439.93	4.8	83.8	156.39	192.03	487.2	266.78	148.14	74.1	90.33	318.05	73.49	160.14	66202	66902	67002	67106	67802	66602	65502	66702	66602	65702	66002
811913	20064	hcd	549.34	4527552.5	549.3356	378182.26	160589.79	287754.77	219225.68	320863.84	291547.37	49526.84	37180.09	152143.49	0	107354.2	308229.4	4.5	93.65	165.97	136.59	198.98	178.32	42.15	37.11	90.31	223.13	64.49	182.58	67102	66502	66402	67602	67002	65302	65202	66502	66406	65202	66202
811913	20065	hcd	678.04	736861.38	678.0416	269014.41	149830.58	111169.45	152093.82	269014.41	237410.35	16517.43	23134.03	130846.12	0	94774.19	155620.78	5.5	71.13	52.84	78.98	131.11	117.36	17.2	19.2	62.78	77.69	46.09	74.23	66802	66202	65902	67306	66502	62102	62202	66102	65802	65602	65202
811913	20066	hcd	712.83	256042.39	802.3522	201828.89	24980.87	57034.01	70386.18	0	74792.08	30705.3	10202.48	45733.27	0	32792.81	52561.2	6.1	25.25	57.54	73.01	205.15	79.8	43.32	19.77	47.29	186.66	33.58	57.39	64102	66102	66202	67006	65502	65402	62802	66302	66002	64502	65002
811913	20067	hcd	484.31	672820.94	484.3129	228543.52	156158.44	203868.16	165839.39	0	129209.99	0	28858.61	69032.37	0	68511.34	110592.06	4.6	145.59	187.11	165.6	224.62	129.7	67.98	37.53	66.47	171.85	63.17	103.81	66602	67102	66802	66906	67002	66002	64702	66002	65802	65202	66002
811913	20068	hcd	554.97	266500.13	554.8381	105160.8	80681.81	98633.54	63141.2	105160.8	70599.93	0	32526.79	59550.82	0	48915.32	76344.26	3.9	51.48	62.71	44.95	73.24	48.72	44.01	25.1	40.99	64.67	32.15	49.96	66302	66702	65002	66106	65102	65402	63802	65602	65502	63702	64602
811913	20069	hcd	704.39	1123280	704.452	264410.59	82470.77	264410.59	140716.31	0	144204.64	15004.75	24217.96	66601.34	0	49943.34	176738.66	5.3	78.55	246.06	139.73	206.01	143.84	27.03	35.14	62.42	194.21	47.4	165.65	67002	66906	66402	67202	66502	64502	64302	65902	66502	65102	66302
811913	20070	hcd	529.66	1319470.38	529.6597	288136.06	288136.06	166872.72	82159.91	0	88707.24	92298.77	59929.63	46540.42	0	75413.05	107258.13	6	180.24	103.61	65.94	113.6	60.39	63.54	44.24	33.1	145.49	46.92	70.09	66806	66602	65702	66902	65902	66102	65002	65202	66106	65302	65502
811913	20072	hcd	478.27	6810733.5	523.3454	6175748.4	284730.97	389666.89	487002.26	0	646022.52	0	99768.8	166850.86	1595600.79	168352.35	496490.48	8.8	58.81	88.36	106.22	1269.45	140.66	97.21	37.44	35.94	326.63	35.11	110.81	65702	66402	66602	66806	68202	66102	64902	66900	66302	64602	65502
811913	20073	hcd	693.9	5586545	693.8999	865424.18	220377.56	154439.62	108994.54	0	724500.97	52523.04	18950.11	865424.18	0	295644.13	187683.88	8	70.92	48.9	43.75	20.39	232.64	25.23	19.62	273.12	43.25	102.48	59.45	66502	65602	65502	65000	66202	64202	63702	66306	65802	65102	65702
811913	20074	hcd	584.79	1132106.38	589.3881	304460.35	122644.59	190229.98	163022.81	304460.35	195428.04	55519.52	36185.06	98794.41	0	65963.71	152429.35	4.3	51.03	78.18	72.07	130.8	84.95	30.89	21.78	41.42	96.59	27.58	63.3	65702	66502	66502	66506	66302	65002	61702	66102	65702	63802	65402
811913	20075	hcd	753.75	842103	131.1385	898672.97	52323.94	65829.91	134542.11	0	101828.08	0	16527.79	93363.03	0	898672.97	91500.93	6.9	45.14	56.02	119.1	101.44	94.75	49.01	21.75	107.23	106.45	745.18	79.23	65102	66202	66906	66802	66302	65202	62802	66802	66102	65906	71302
811913	20076	hcd	525.3	3908320.25	525.3061	303858.34	118563.21	235070.33	155390.86	0	201978.85	0	71392.53	106489.45	0	180791.85	132157.37	4.3	111.21	217.88	155.99	237.65	200.07	125.62	84.49	109.16	285.38	167.97	129.71	66102	67502	66902	66902	66902	66302	66302	66602	66506	66302	66102
811913	20078	hcd	429.78	4447694.5	429.785	427475.59	138466.81	376161.06	252629.82	0	232256.65	125513.86	127635.69	141189.81	0	153838.9	256399.59	4	103.75	276.14	196.49	335.72	185.39	111.52	109.54	109.03	290.93	113.1	191.59	66802	67402	67202	67306	66702	66102	66702	65902	66602	66402	65702
811913	20079	hcd	811.42	640256.94	130.1351	682875.57	36983.72	22598.13	26350.34	0	31415.92	31469.66	15401.86	682875.57	0	25813.49	20884.26	9.7	29.77	18.13	23.76	35.85	26.96	42.28	14.6	537.36	35.84	42.31	17.49	64802	63702	64502	64802	64302	65602	61102	66206	70300	63602	63002
811913	20081	hcd	381.25	4556405	381.2478	596141.86	397438.23	262354.51	543841.58	482741.31	596141.86	260080.19	0	182150.01	0	188290.58	352707.72	3.9	347.79	227.75	505.48	439.83	547.55	249.69	39.2	171.67	454.24	165.06	313.09	67202	67202	67702	67802	67206	66302	65202	66702	66602	66502	66302
811913	20082	hcd	559.37	3747209	559.3721	398090.09	172556.6	398090.09	255937.79	0	294649.1	125264.37	338761.79	133416.21	0	197199.74	268617.9	3.5	55.42	126.14	87.21	114.79	102.26	46.89	114.91	46.19	104.85	63.38	87.45	65802	66606	66302	67002	66702	65002	66302	65702	65202	64802	66002
811913	20083	hcd	458.93	4270618.5	458.9262	1206631.98	97376.19	366579.69	281851.4	0	446982.7	0	153854.91	291850.64	0	219852.23	592738.43	5.3	43.26	161.74	128.96	535.57	204.41	70.88	85.05	128.8	295.91	97.44	259.09	65502	67102	67002	67106	67402	66402	66202	66602	65802	66102	66402
811913	20084	hcd	697.39	3425370	697.3866	521839.36	249307.7	521839.36	200282.96	326980.56	180313.9	15257.47	36613.03	160449.22	0	86458.89	264078.07	6.3	127.13	262.68	112.67	185.93	98.97	20.41	26.54	81.59	111.59	45.85	133.81	67002	66906	66702	67202	66402	63702	64602	66202	65502	65102	66006
811913	20085	hcd	689.67	2803475.5	689.4436	620328.46	64825.82	620328.46	433355.23	0	298833.17	159545.99	86024.7	209561.29	0	136323.93	335440.87	5.7	32.64	300.27	216.3	140.01	162.55	87.67	56.8	108.57	228.39	70	169.71	64902	67306	66602	67102	66502	66402	65302	66002	66602	65602	66002
