Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed	InterferenceScore
0	777	693.559	45842	45848	45803	-1	0	45712	45894	45803	3.3205E+06	4.959	57	2.47E+08	1.0613E+06	669621	1.06E+06	29	1.6562E+08	45797	23.6	0.0009208	0.3188	10	0
0	778	855.9616	45842	45849	45881	-1	0	45790	45998	45881	3.4916E+06	4.023	63	3.0036E+08	1.83E+06	867885	1.26E+06	27	1.7298E+08	45886	23.6	0.04486	0.3125	10	0
0	779	631.9766	45842	45850	45894	-1	0	45790	45998	45894	1.727E+06	3.985	67	1.4786E+08	858772	433402	581061	27	8.2722E+07	45891	24.6	-0.04723	0.3088	10	0
0	780	649.3498	45842	45851	45803	-1	0	45686	45998	45803	968202	3.294	89	1.2733E+08	683692	293965	296953	53	5.1671E+07	45807	27.7	0.07989	0.2836	12	0
0	781	619.8401	45842	45852	45881	-1	0	45764	45998	45881	945274	2.981	91	1.0933E+08	937543	317149	345171	27	4.9418E+07	45882	27.4	-0.03673	0.3146	11	0
0	782	921.7941	45842	45853	45894	-1	0	45816	45998	45894	1.1339E+07	5.347	56	7.387E+08	1.8517E+06	2.1206E+06	3.51E+06	27	4.8033E+08	45899	23.1	0.03496	0.3095	10	0
0	783	1018.8538	45842	45854	45868	-1	0	45790	45998	45868	939709	9.96	66	7.0164E+07	843327	94352	195802	79	5.4385E+07	45874	26.5	0.1019	0.2913	11	0
0	784	841.4217	45855	45856	45855	-1	0	45686	45972	45855	927794	13.9	36	5.435E+07	927794	66732	133333	78	3.695E+07	45857	26.6	-0.08	0.2956	11	0
0	785	876.7874	45855	45857	45855	-1	0	45777	45946	45855	804250	12.64	38	3.9622E+07	777374	63620	109720	78	3.1639E+07	45854	22.9	0.01446	0.3073	9	0
0	786	664.3785	45855	45858	45920	-1	0	45842	45998	45920	1.8025E+07	3.138	83	2.0034E+09	1.912E+06	5.7438E+06	7.96E+06	27	5.7742E+08	45917	18.2	-0.07382	0.3578	8	0
0	787	691.6817	45855	45859	45868	-1	0	45673	45998	45868	1.2766E+06	3.462	60	1.2939E+08	1.2521E+06	368695	381993	27	5.2081E+07	45862	24.3	-0.02012	0.3231	10	0
0	788	590.7383	45855	45860	45881	-1	0	45777	45998	45881	738677	3.459	83	7.2302E+07	835834	213578	270817	27	3.7547E+07	45879	25.6	0.03779	0.2964	11	0
0	789	861.6893	45855	45861	45855	-1	0	45777	45946	45855	781589	17.07	29	3.0559E+07	653545	45778	70826	78	2.4432E+07	45856	22.7	-0.01746	0.3	9	0
0	790	753.7026	45855	45862	45829	761	0	45582	45998	45868	624436	7.677	81	5.6858E+07	708053	81339	109523	78	3.1092E+07	45838	45.7	-0.2329	0.2704	17	0
0	791	936.4531	45855	45863	45868	-1	0	45790	45998	45868	655555	11.22	36	3.9852E+07	695397	58432	94430	78	2.8151E+07	45873	25.1	0.0648	0.2877	10	0
0	792	640.0856	45855	45864	45829	-1	0	45634	45998	45829	480685	2.764	93	6.1489E+07	467024	173934	173231	27	2.3987E+07	45829	29.3	-0.1348	0.315	12	0
0	793	800.3825	45855	45865	45842	-1	0	45751	45998	45842	543592	2.183	113	8.7467E+07	559665	248977	232163	28	2.5796E+07	45862	31.2	0.1835	0.2665	12	0
0	794	865.4291	45855	45866	45894	-1	0	45686	45998	45894	345568	1.842	189	6.5146E+07	163559	187643	206092	27	1.1805E+07	45887	25.6	-0.06289	0.3287	10	0
0	795	825.4546	45855	45867	45907	-1	0	45777	45998	45907	693895	1.212	43	1.7725E+08	525392	572686	1.2E+06	79	4.025E+06	45906	12.3	-0.2	0.4285	6	0
0	796	926.7792	45868	45869	45868	-1	0	45777	45998	45868	173484	4.823	59	2.0059E+07	38191	35971	28750	78	1.0333E+07	45864	27.1	0.04142	0.2995	11	0
0	797	530.0444	45868	45870	45868	-1	0	45790	45972	45868	534970	4.668	54	3.5212E+07	523617	114610	154557	27	1.9499E+07	45869	21.8	-0.001205	0.3271	9	0
0	798	953.1761	45868	45871	45855	-1	0	45777	45946	45855	2.5819E+06	18.08	46	1.4821E+08	1.6736E+06	142769	391927	78	1.3426E+08	45856	25.8	0.01942	0.2968	11	0
0	799	483.9191	45868	45872	45868	-1	0	45790	45998	45868	729946	4.935	50	4.8832E+07	681627	147911	203493	27	2.7114E+07	45874	23.2	0.01332	0.3126	10	0
0	800	609.3636	45868	45873	45920	-1	0	45842	45998	45920	1.9431E+06	1.988	44	3.351E+08	503312	977240	1.49E+06	27	4.089E+07	45920	15.6	-0.004095	0.3651	7	0
0	801	524.6198	45868	45874	45894	-1	0	45803	45998	45894	551154	3.913	70	4.561E+07	403751	140855	178384	27	2.3927E+07	45893	22.7	0.004347	0.3253	9	0
0	802	612.6363	45868	45875	45907	-1	0	45686	45998	45907	482525	1.877	186	8.9686E+07	327141	257075	218214	27	1.4201E+07	45897	22.6	-0.1809	0.3592	9	0
0	803	947.4548	45868	45876	45894	-1	0	45803	45998	45894	4.4459E+06	4.444	66	3.4469E+08	3.8694E+06	1.0003E+06	1.5E+06	27	2.0166E+08	45898	23.2	0.03916	0.3079	10	0
0	804	948.4669	45868	45877	45894	803	0	45777	45998	45868	3.3055E+06	4.416	51	2.5759E+08	2.766E+06	748593	1.02E+06	27	1.4034E+08	45873	24.1	0.06723	0.3156	10	0
0	805	764.6395	45868	45878	45868	-1	0	45790	45972	45868	883359	8.204	24	4.4092E+07	553095	107677	172910	79	2.728E+07	45871	23	0.06102	0.3046	10	0
0	806	903.4272	45868	45879	45881	-1	0	45790	45998	45881	465147	2.831	143	5.4391E+07	495831	164304	228951	27	1.9493E+07	45881	22.9	0.04507	0.3054	9	0
0	807	786.4313	45868	45880	45894	-1	0	45790	45998	45894	776412	3.368	56	6.025E+07	654151	230518	332848	53	2.658E+07	45895	21.3	-0.0135	0.3378	9	0
0	808	685.9158	45881	45882	45855	-1	0	45764	45946	45855	775622	4.588	48	5.3911E+07	430548	169039	240298	27	3.2136E+07	45855	22.2	0.006341	0.3214	9	0
0	809	859.4499	45881	45883	45881	-1	0	45608	45998	45881	769268	3.428	56	7.601E+07	761953	224412	414839	79	3.329E+07	45885	25.1	0.003007	0.3186	10	0
0	810	909.5247	45881	45884	45920	-1	0	45842	45998	45920	2.1651E+06	3.796	82	1.9329E+08	825988	570302	835513	27	8.2123E+07	45916	19.2	-0.03151	0.3327	8	0
0	811	606.3466	45881	45885	45920	-1	0	45842	45998	45920	2.3916E+06	9.783	63	1.722E+08	726284	244454	486121	79	9.7403E+07	45916	22	0.05673	0.3249	9	0
0	812	473.2774	45881	45886	45907	-1	0	45816	45998	45907	759942	3.681	51	6.8043E+07	535603	206423	247803	27	3.2646E+07	45903	22.7	-0.03535	0.3189	10	0
0	813	411.8972	45881	45887	45920	-1	0	45842	45998	45920	1.5412E+06	2.019	48	2.5969E+08	512116	763422	1.14E+06	27	3.3307E+07	45920	15.8	0.01001	0.3665	7	0
0	814	718.1411	45881	45888	45881	-1	0	45751	45998	45881	2.029E+06	3.21	74	2.1889E+08	1.8269E+06	632181	738305	27	1.0877E+08	45877	27.4	0.01331	0.3009	11	0
0	815	964.233	45881	45889	45920	-1	0	45842	45998	45920	4.6878E+06	4.275	67	3.7799E+08	1.7485E+06	1.0965E+06	1.66E+06	27	1.5508E+08	45916	19.1	-0.04841	0.3225	8	0
0	816	738.4309	45881	45890	45855	-1	0	45764	45998	45855	1.1095E+06	4.448	54	8.5221E+07	668694	249415	336706	27	4.7451E+07	45861	24.2	0.02072	0.3195	10	0
0	817	901.4709	45881	45891	45920	-1	0	45842	45998	45920	2.3003E+06	4.427	61	1.7351E+08	1.2865E+06	519659	762272	27	8.2058E+07	45915	19.4	-0.004252	0.3321	8	0
0	818	798.4454	45881	45892	45907	-1	0	45816	45998	45907	592262	3.765	73	5.0646E+07	577634	157303	207305	27	2.6872E+07	45903	21.9	0.05124	0.3244	9	0
0	819	1031.8829	45881	45893	45920	-1	0	45842	45998	45920	1.8799E+06	2.384	46	2.7037E+08	872646	788435	1.07E+06	27	5.0391E+07	45919	16.6	0.01594	0.3701	7	0
0	820	725.3757	45894	45895	45868	-1	0	45777	45998	45868	9.894E+06	4.642	60	7.4441E+08	7.6573E+06	2.1313E+06	3.13E+06	27	4.4636E+08	45874	24.4	0.02896	0.3196	10	0
0	821	771.8829	45894	45896	45894	-1	0	45803	45998	45894	701726	4.355	49	5.2817E+07	700888	161130	219292	27	2.6884E+07	45896	22.2	-0.02113	0.3142	9	0
