Dataset	ScanNumber	Collision Mode	ParentIonMZ	BasePeakIntensity	BasePeakMZ	ReporterIonIntensityMax	Ion_126.128	Ion_127.125	Ion_127.131	Ion_128.128	Ion_128.134	Ion_129.131	Ion_129.138	Ion_130.135	Ion_130.141	Ion_131.138	Weighted Avg Pct Intensity Correction
0	21145		500.77	1674275.75	110.0714	755297.38	376947.16	402308.44	755297.38	468615.38	407321.72	452910.28	393225	377001.94	372074.41	416963.94	3.6
0	21146		442.6	453587.16	521.2919	342149.84	304367.81	292558.63	271420.03	286078.94	288747.25	294435.78	335541.38	322559.59	342149.84	312228.88	3.1
0	21147		762.93	741573.75	230.1699	546956.88	522113.5	493782.94	442414.94	499271.5	524391.19	502736.25	535653.25	546956.88	517590.91	546417.06	3.1
0	21148		802.41	111154.63	435.2371	86622.59	72100.2	71178.47	79992.34	73319.17	75676.81	86622.59	85630.15	81413.54	73888.22	77487.41	2.8
0	21149		487.95	499113.59	128.1282	496303.31	315058	318822.56	288187.22	496303.31	355278.59	451984.69	365405.94	378321.22	362390.19	484913.94	2.9
0	21150		746.7	773157.44	745.936	354747.56	260776.58	287445.41	273116.38	270705.47	313415.38	299377.44	319363.25	297304.97	327554.03	354747.56	3.2
0	21151		445.6	290897.78	230.17	206555.64	188702.95	182204.45	168536.63	173809.77	186545.17	177286.27	206555.64	204073.69	202911.25	198806.47	3.1
0	21152		580.38	396605.31	230.17	330730.22	269206.81	265860.94	304672.78	306696.5	292323.66	308692.41	290526.06	287074.84	287257.75	330730.22	3.0
0	21153		830.9	739001.13	131.1382	785731.69	149498.91	156241.3	263076.88	188085.28	135122.64	183752.55	206725.94	151628.61	120101.89	785731.69	5.3
0	21154		604.67	616365.5	230.17	467098.63	424296.09	450516.38	457764.31	428290.94	433851.78	420364.44	467098.63	406495.25	433957.22	420396.34	3.1
0	21156		483.29	40832832	230.1699	31783438	27893998	29487582	25805014	26194024	29391660	27002852	29451584	31642516	29048832	31783438	3.2
0	21157		416.26	8627698	358.2285	4804916.5	4591450.5	4075370.75	3555714	4207546.5	4476142	4416970	4186258.75	4521308	4433201	4804916.5	3.3
0	21159		424.25	518698.81	358.2286	447967.19	373509.53	401350.06	374363.59	362550.91	404757.63	402645.53	403768.22	412725.59	413509.16	447967.19	3.2
0	21160		524.83	1083332.63	230.1701	844907.13	717804.63	687121.38	593881.44	646336.13	699055.44	757186.75	754345.75	740336.44	844907.13	767185.44	3.3
0	21161		498.3	2957989	230.17	2369934.25	2052629.38	2129450	1660068.63	1909883.63	2197180.25	2141893.25	2134791.5	2151204	2078842.5	2369934.25	3.3
0	21162		508.62	827131	836.3985	616041.06	551795.19	552437.13	480260.97	560526.63	580929.38	588976.88	608692.75	581087.31	603322.56	616041.06	3.1
0	21163		451.77	438345.53	175.1189	327506.47	311709.72	303886.44	279061.88	294970	322620.84	316971.09	298409.31	306979.69	327506.47	325654.63	3.3
0	21164		591.49	3011974.5	590.8575	975282.25	934176.25	878833.56	724015.19	917781.44	975282.25	886434.63	919909	828681.06	933012.94	883184.75	3.3
0	21165		511.29	4908697.5	136.0756	1485599.25	1485599.25	1334729.5	856674.81	1293354.38	1363533	1241008.5	1476351.5	1406855.38	1478744.25	1350703.75	3.4
0	21166		629.83	407158.94	248.1806	318637.59	292121	268438.28	229362.06	278427.88	313760.28	301185.66	298465.44	316999.66	316755.44	318637.59	3.1
0	21167		439.59	395082.5	230.1701	322062.28	287600.09	286546.31	262221.91	300934.97	299507.22	299487.41	314705.91	297051.59	291308.19	322062.28	3.1
0	21169		421.77	28652748	272.1714	2958637	2641490.75	2523302	2332770.75	2395256.5	2815428.25	2459945.25	2543738.25	2613407	2555122.25	2958637	3.3
0	21170		584.3	1584327.63	230.17	1082169.25	816226.69	869595.19	691353.25	844328.25	955633.25	917797.44	937161	873584.56	887722.31	1082169.25	3.2
0	21171		631.4	480339.88	631.3978	405490.69	317729.69	325045.19	405490.69	365534.44	344031.84	344363.41	347271	343085.19	309961.75	348492.97	2.8
0	21172		675.71	9166385	262.1507	5053079.5	4839014.5	4771657	3533067.5	4652548.5	4832906.5	4991170.5	4865939	4967578	4896840	5053079.5	3.3
0	21173		985.48	743267.13	1252.5854	590605.38	565104.44	466566.75	361759.91	522056.19	590605.38	515614.81	504108.97	438261.38	553439.13	512936.41	3.5
0	21174		785.19	2630984.75	623.1375	696745.81	640065.38	629890.81	440480.88	572593	649248.69	620710.75	692810.56	676214.56	612680.75	696745.81	3.2
0	21175		664.35	306948.69	230.1701	296417.28	249539.75	252526.81	207402.72	243149.73	275984.09	252878.55	296417.28	254801.91	283043.06	278245.72	3.2
0	21176		1021.58	569715.88	544.2927	473223.88	473223.88	435761.16	227580.91	375500.41	429597.38	390552	448062.31	439879.66	433820.16	375179.84	3.5
0	21177		756.72	327914.16	592.296	149612.7	133971.88	134332.98	125543.8	124300.99	134434.38	149612.7	145439.75	139261.44	130701.54	145795.84	3.1
0	21179		647.08	1956705.88	159.0916	362259.94	316493.44	303719.78	297172.06	329662.03	348221.56	345365.63	347835.44	309119.91	339220.75	362259.94	3.1
0	21180		609.03	7413478.5	129.1315	7430737	6309751.5	6635255	4713482	5832606	7013015.5	7430737	6772792	7196949	6824558.5	7085212.5	3.2
0	21182		524.77	744054.63	230.1702	551009	481498.03	448024.75	366902.78	438080.97	482751.72	477594.41	491552.03	514535.63	551009	518129.97	3.3
0	21183		531.1	1466475.5	530.6724	856877.94	761241.31	742352.06	525720.56	701110.94	817008.56	797001.38	789354.06	780436.63	856877.94	763195.5	3.3
