Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw
0	7467	38.76983	2	12010	783.09	1099.37	58.56	107	427
0	7468	38.77567	2	13636	1390.5	559.261	104.4	86	315
0	7469	38.7815	2	1745.4	198.06	573.279	27.59	29	107
0	7470	38.7875	2	2374.9	180.87	487.214	19.69	29	125
0	7471	38.7935	2	1789.4	281.18	638.292	29.33	20	104
0	7472	38.7995	2	2005.5	323.29	472.415	37.03	25	81
0	7473	38.8055	2	1390.2	272.23	1004.37	27.24	10	79
0	7474	38.81133	2	4339.2	396.31	777.357	39.19	50	190
0	7475	38.81717	2	10266	1068	900.648	90.74	98	301
0	7476	38.823	2	1062.9	118.01	1167.32	13.51	17	72
0	7477	38.82883	1	2.5155E+06	680086	933.54	1211	1263	1263
0	7478	38.8335	2	51560	3287.1	702.068	120.8	150	503
0	7479	38.83883	2	6076.9	293.45	873.48	23.59	55	282
0	7480	38.84467	2	3471.7	423.92	696.391	43.31	31	156
0	7481	38.8505	2	2236	241.82	204.079	30.67	32	92
0	7482	38.8565	2	5065.3	447.86	803.41	42.88	60	259
0	7483	38.8625	2	2884.9	157.68	808.514	15.26	43	176
0	7484	38.86833	2	20289	1392.2	783.787	103.2	126	460
0	7485	38.87433	2	977.11	133.87	563.547	21.56	18	65
0	7486	38.88033	2	4770	249.03	903.429	22.77	54	224
0	7487	38.88617	2	2399.9	310.18	212.057	34.13	32	116
0	7488	38.89183	1	2.3926E+06	571140	933.523	968.1	1379	1379
0	7489	38.8965	2	3083	981.63	559.174	86.44	23	118
0	7490	38.9025	2	5769.8	652.82	901.404	58.63	50	210
0	7491	38.90833	2	3258.2	680.7	903.458	76.06	28	114
0	7492	38.91417	2	8505.1	665.45	560.322	55.13	63	244
0	7493	38.92	2	1326.6	88.575	1585.84	7.853	17	83
0	7494	38.92567	2	483.04	60.668	1039.21	8.813	11	38
0	7495	38.93133	2	1810.6	125.56	947.349	15.47	29	127
0	7496	38.93717	2	1491.3	125.71	871.334	14.82	22	120
0	7497	38.943	2	440.43	187.23	1533.56	26.3	5	19
0	7498	38.94867	2	159.56	30.618	1498.75	5.685	5	15
0	7499	38.95417	1	2.0148E+06	419882	933.547	811.1	1352	1352
0	7500	38.95867	2	3575	332.2	805.743	36.38	45	159
0	7501	38.96467	2	4413.6	413.01	804.209	38.6	44	172
0	7502	38.9705	2	4237.7	1371.1	903.433	171	24	123
0	7503	38.97633	2	1892.6	229.65	785.181	23.43	23	83
0	7504	38.98217	2	2226.4	441.97	603.142	47.65	28	102
0	7505	38.98817	2	3519.2	846.6	928.424	76.47	19	81
0	7506	38.994	2	1815.5	511.06	431.236	56.25	18	72
0	7507	39	2	1602	159.81	770.271	16.53	17	108
0	7508	39.00583	2	1710.9	194.17	1490.64	21.67	24	113
0	7509	39.0115	2	2902.2	286.97	500.202	31.67	39	156
0	7510	39.01733	1	1.4024E+06	147888	933.571	342.2	1204	1204
0	7511	39.02167	2	14215	5024	385.23	465.9	33	115
0	7512	39.02767	2	1279.2	276.12	443.354	36.83	16	69
0	7513	39.0335	2	1345.9	136.72	428.304	18.39	21	86
0	7514	39.03933	2	6470.2	735.75	739.269	68.97	59	242
0	7515	39.04533	2	812.57	87.256	480.392	11.93	14	71
0	7516	39.05133	2	3482.1	134.97	833.62	11.28	48	171
0	7517	39.05717	2	858.27	79.088	490.931	11.35	16	68
0	7518	39.06317	2	1620.2	169.7	469.699	19.22	23	77
0	7519	39.06917	2	2233.1	213.18	693.167	21.98	33	126
0	7520	39.07516	2	1332.9	158.5	705.117	19.44	16	83
0	7521	39.081	1	1.2035E+06	98334	933.476	204.5	1292	1292
0	7522	39.08533	2	82598	7462.9	915.419	108	127	394
0	7523	39.09017	2	27508	2585.7	916.404	105.8	124	423
0	7524	39.096	2	5195.2	940.8	557.124	97.44	40	129
0	7525	39.102	2	2778.3	181.84	756.526	16.5	31	126
0	7526	39.108	2	4215.2	724.57	777.599	80.92	49	188
0	7527	39.11383	2	2435	185.8	824.457	18.17	32	145
0	7528	39.11967	2	2235.3	1004.9	689.349	99.38	16	78
0	7529	39.12567	2	4123.7	202.87	794.472	18.97	47	176
0	7530	39.1315	2	1571.5	368	1111.36	45.54	21	55
0	7531	39.13717	2	1004.6	49.973	1567.61	5.624	19	69
0	7532	39.14283	1	889454	35602	801.663	87.33	1217	1217
0	7533	39.147	2	10421	4280.8	885.452	364.9	47	185
0	7534	39.15283	2	1826	431.91	611.323	55.69	20	77
0	7535	39.15883	2	645.4	70.602	512.993	8.895	12	45
0	7536	39.16483	2	16595	923.85	745.797	65.95	121	436
0	7537	39.17083	2	1511	131.28	590.44	13.94	22	97
0	7538	39.17683	2	1113.3	105.42	456.325	11.29	14	75
0	7539	39.18283	2	1069.8	85.426	619.123	10.01	15	78
0	7540	39.18884	2	1785.5	89.403	705.268	10.38	28	145
0	7541	39.19467	2	1832.9	222.68	856.358	22.64	28	101
0	7542	39.2005	2	3837.8	1593.5	827.509	116.4	17	87
0	7543	39.20633	1	889688	28278	802.118	68.43	1216	1216
0	7544	39.211	2	12604	1414	784.662	116	102	392
0	7545	39.21684	2	2595.6	248.82	626.259	28.31	33	116
0	7546	39.22283	2	1663.8	153.03	940.495	14.68	23	101
0	7547	39.2285	2	1306.4	99.708	1081.37	12.74	20	93
0	7548	39.23433	2	3196.1	522.98	730.604	57.31	35	162
0	7549	39.24017	2	55.713	14.061	1523.8	2.188	1	6
0	7550	39.24583	2	2215.2	126.38	807.027	13.8	40	127
0	7551	39.25167	2	3752.9	427.35	730.497	47.26	50	198
0	7552	39.25767	2	956.99	223.47	559.097	30.99	14	64
0	7553	39.26367	2	1264	145.87	723.402	14.26	16	66
0	7554	39.2695	1	727793	36903	801.634	102.9	1201	1201
0	7555	39.274	2	1864.3	808.75	603.126	97.82	18	73
0	7556	39.27983	2	3266.7	327.82	825.433	38	40	195
0	7557	39.28583	2	2768.5	1745.4	409.304	256.6	11	49
0	7558	39.2915	2	6621.9	430.68	777.791	35.91	66	220
0	7559	39.2975	2	924.75	151.85	697.316	21.01	12	58
0	7560	39.3035	2	464.96	55.466	503.365	8.541	12	39
0	7561	39.3095	2	1812.3	203.14	757.685	25.38	24	91
0	7562	39.31533	2	3637.5	791.71	436.219	99.3	44	169
0	7563	39.32133	2	1496.4	271.66	469.314	26.83	18	62
0	7564	39.32717	2	1094.6	243.06	647.279	32.1	18	75
0	7565	39.33317	1	740549	31550	801.591	84.06	1192	1192
0	7566	39.33733	2	30866	1570.9	629.424	92.98	168	522
0	7567	39.34333	2	1204.7	95.11	375.225	12.63	23	86
0	7568	39.34933	2	10088	1124.1	824.504	99.12	80	292
0	7569	39.35517	2	2348.9	810.21	842.387	88.7	18	74
0	7570	39.361	2	2554.4	811.62	658.346	79.26	27	93
0	7571	39.36683	2	2653.9	439.1	846.479	35.21	20	88
0	7572	39.37283	2	6030.3	599.77	794.096	56.71	75	264
0	7573	39.37867	2	1121.1	217.06	1094.43	24.64	18	63
0	7574	39.3845	2	773.42	59.842	593.403	6.706	13	59
0	7575	39.39034	2	2055.6	249.94	671.397	36.23	32	121
0	7576	39.39617	1	862020	35204	793.134	91.62	1225	1225
0	7577	39.40067	2	1774.3	607.34	657.448	69.44	15	72
0	7578	39.40667	2	3309.9	560.98	629.337	57.29	37	140
0	7579	39.4125	2	1444	119.56	1100.65	12.2	16	107
0	7580	39.41833	2	1269	298.91	292.202	32.88	13	50
0	7581	39.42433	2	3580.8	292.36	788.467	27.19	35	168
0	7582	39.43033	2	1776.8	356.61	647.262	49.37	23	81
0	7583	39.43616	2	4327.4	908.43	846.512	71.96	24	91
0	7584	39.44217	2	2419.3	879.8	886.474	107.1	17	87
0	7585	39.448	2	2136.1	191.49	766.442	22.51	32	135
0	7586	39.45383	2	1252.8	76.288	817.211	11.08	18	93
0	7587	39.45967	1	880948	37029	842.466	97.05	1239	1239
0	7588	39.46417	2	35323	3077.9	1099.45	187.4	180	628
0	7589	39.47017	2	33846	3056.4	1099.45	161.3	146	565
0	7590	39.476	2	10026	1152	437.226	96.5	81	325
0	7591	39.48183	2	1949.2	167.01	1082.51	19.4	27	128
0	7592	39.48767	2	2149.5	163.33	811.463	15.14	27	119
0	7593	39.4935	2	3568.5	1329.3	658.414	198	32	109
0	7594	39.4995	2	3026.2	802.6	984.444	80.11	22	100
0	7595	39.50533	2	2409.2	1195.7	662.326	138.1	15	65
0	7596	39.51117	2	171.77	25.426	1554.1	2.753	2	14
0	7597	39.51667	2	3940.8	677.38	822.413	69.27	41	160
