Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed
0	88	692.4916	7389	7399	7433	-1	0	7367	7587	7433	3102.6	1.497	99	475128	1759.6	2071.9	695	27	50318	7444	29.9	0.1698	0.2812	13
0	89	933.5107	7400	7401	7444	-1	0	7367	7587	7444	1.3380E+06	4.421	39	8.9810E+07	18285	302652	467007	27	5.3159E+07	7445	20.8	0.1446	0.3083	10
0	90	870.5173	7400	7402	7378	-1	0	7312	7444	7378	350928	7.983	30	1.2729E+07	91258	43958	93825	27	9.4625E+06	7380	17.7	-0.0328	0.3408	9
0	91	474.3549	7400	7403	7433	-1	0	7356	7587	7433	16198	3.496	79	1.4472E+06	7553.1	4633.8	3371	15	699912	7450	30	0.2604	0.2598	13
0	92	729.3278	7400	7404	7411	-1	0	7345	7477	7411	15306	8.191	15	454623	7450.4	1868.5	2980	27	234030	7411	17.8	-0.003	0.3313	9
0	93	935.484	7400	7405	7444	-1	0	7367	7587	7444	234126	4.445	37	1.5546E+07	31070	52673	80342	27	9.1940E+06	7446	20.8	0.1306	0.311	10
0	94	429.4402	7400	7406	7411	-1	0	7301	7488	7411	2388.9	2.654	66	214669	2639.5	900.26	850	27	86204	7415	20.5	-0.0335	0.3157	10
0	95	572.5258	7400	7407	7367	-1	0	7301	7444	7367	4858.8	2.501	44	373690	2541.2	1943	1535	27	126453	7367	18.7	0.0216	0.3367	9
0	96	665.3635	7400	7408	7433	250	0	7345	7455	7400	2694.1	1.935	59	214426	4169.4	1392.3	1005	27	63552	7402	17.6	-0.0728	0.3383	9
0	97	1311.644	7400	7409	7411	-1	0	7345	7477	7411	3005.3	4.228	49	167685	2689.8	710.81	889	27	92649	7411	18.2	0.0006	0.3353	9
0	98	667.3145	7400	7410	7433	-1	0	7356	7587	7433	2610.6	2.674	57	252164	1420.5	976.16	871	27	91059	7429	20.5	-0.0611	0.3273	10
0	99	955.483	7411	7412	7444	-1	0	7367	7587	7444	57359	3.7	64	4.5664E+06	30447	15502	21902	27	2.5632E+06	7447	21.9	0.1339	0.2875	10
0	100	707.4114	7411	7413	7444	-1	0	7367	7587	7444	31499	3.464	96	2.6195E+06	10848	9092.7	12056	27	1.3911E+06	7452	22.6	0.1705	0.2896	11
0	101	937.4347	7411	7414	7444	-1	0	7367	7587	7444	14662	3.889	41	1.0766E+06	9276.7	3770.7	5080	27	578892	7445	20.9	0.1488	0.3091	10
0	102	986.239	7411	7415	7444	-1	0	7367	7587	7444	18623	4.009	44	1.3360E+06	11130	4645	6748	27	763884	7444	20.7	0.155	0.3054	10
0	103	971.3795	7411	7416	7444	-1	0	7367	7587	7444	20169	3.747	42	1.5426E+06	11766	5383.5	6894	27	794701	7448	21.6	0.1428	0.2875	10
0	104	977.4957	7411	7417	7433	-1	0	7356	7587	7433	10304	4.344	93	832936	8934.3	2372.2	2083	14	454396	7447	28.2	0.3755	0.2723	13
0	105	957.5903	7411	7418	7444	-1	0	7367	7587	7444	18215	4.053	37	1.2748E+06	11506	4494.8	6130	27	687619	7446	20.8	0.1463	0.3032	10
0	106	608.4337	7411	7419	7444	-1	0	7367	7587	7444	22021	3.782	58	1.6972E+06	13817	5823	8122	27	962545	7450	21.1	0.064	0.2875	10
0	107	507.3688	7411	7420	7444	-1	0	7367	7587	7444	10749	3.653	65	842432	9779.7	2942.9	3945	27	453072	7446	20.9	0.1329	0.306	10
0	108	949.5442	7411	7421	7466	-1	0	7367	7587	7466	31283	2.607	89	3.7138E+06	22094	11998	7349	15	1.6669E+06	7466	28.7	0.0408	0.2946	13
0	109	486.4907	7422	7423	7444	-1	0	7367	7587	7444	13170	4.299	42	873198	8296.5	3063.4	2479	15	392941	7453	21.8	0.1433	0.2964	11
0	110	489.4757	7422	7424	7444	-1	0	7367	7587	7444	5911.5	3.174	53	500376	7297.4	1862.5	2037	27	223791	7442	19.5	0.1121	0.3	9
0	111	1098.6742	7422	7425	7433	-1	0	7367	7488	7433	3437.8	2.658	55	244551	6073.9	1293.5	1478	27	106525	7434	18.2	0.0926	0.3	9
0	112	951.4352	7422	7426	7455	-1	0	7367	7587	7455	6864.4	2.339	87	858233	6923.3	2934.4	1681	15	320291	7462	28.2	0.1505	0.2819	13
0	113	707.486	7422	7427	7444	-1	0	7367	7587	7444	31499	3.464	96	2.6195E+06	31978	9092.7	12056	27	1.3911E+06	7452	22.6	0.1705	0.2896	11
0	114	709.5625	7422	7428	7444	-1	0	7367	7587	7444	4372.5	2.633	100	425304	4428.9	1660.9	1575	27	162377	7448	21.5	0.1403	0.2875	10
0	115	664.4183	7422	7429	7301	3	0	7301	7587	7433	4235.5	1.865	79	676973	4594	2271.5	1105	27	86693	7429	20.2	-0.0027	0.3037	10
0	116	1865.3119	7422	7430	7433	-1	0	7367	7499	7433	3941.4	4.67	35	194995	4284.9	844	1314	27	109923	7435	17.6	0.0204	0.3275	9
0	117	467.6354	7422	7431	7510	-1	0	7367	7587	7510	24996	11.86	11	596837	2510.9	2106.8	4820	27	274148	7493	27.9	-0.6555	0.3288	13
0	118	916.4196	7422	7432	7444	-1	0	7367	7587	7444	4392.7	3.028	86	386747	4021.4	1450.9	1348	27	134981	7454	25.1	0.2259	0.2824	12
0	119	620.3046	7433	7434	7444	-1	0	7367	7587	7444	7900.8	2.001	45	1.0003E+06	7866.5	3947.6	1768	27	196160	7450	23	0.1781	0.2921	11
0	120	915.5428	7433	7435	7444	-1	0	7367	7587	7444	5085.5	2.319	89	567101	6898.4	2193.1	1831	27	203171	7451	24.9	0.1674	0.2803	11
0	121	862.6656	7433	7436	7444	-1	0	7378	7521	7444	11903	6.342	21	448784	7728.5	1877	2682	27	264440	7445	17.7	-0.0098	0.3354	9
0	122	656.2482	7433	7437	7433	-1	0	7301	7587	7433	7097.6	2.735	81	774385	7173.2	2594.8	2619	27	288690	7429	22.9	0.0653	0.2976	11
